
@relation gathering2

@attribute fuel {full, much, half, little, lack}
@attribute water {full, much, half, little, lack}
@attribute surface {Buraki, Kukurydza, Droga}
@attribute maturity {developed, well, medium, poorly}
@attribute fuel_distance {far, medium, near}
@attribute water_distance {far, medium, near}
@attribute weather {sunny, cloudy, rainy}
@attribute gather {yes, no}

@data
half, much, Droga, poorly, near, medium, cloudy, no
much, lack, Kukurydza, medium, near, near, cloudy, yes
full, little, Kukurydza, poorly, far, medium, cloudy, no
little, much, Droga, developed, near, near, cloudy, no
full, little, Kukurydza, well, medium, near, sunny, yes
lack, half, Droga, developed, near, medium, cloudy, no
little, half, Droga, poorly, far, far, cloudy, no
little, lack, Droga, developed, far, medium, sunny, no
much, lack, Kukurydza, poorly, near, near, sunny, yes
little, much, Droga, well, far, medium, rainy, no
much, full, Kukurydza, well, near, medium, sunny, yes
lack, half, Kukurydza, developed, medium, near, cloudy, no
half, full, Droga, medium, far, near, sunny, no
full, half, Kukurydza, well, near, medium, rainy, no
half, much, Droga, poorly, far, medium, cloudy, no
lack, half, Buraki, developed, far, near, cloudy, no
little, much, Droga, well, near, far, rainy, no
full, little, Kukurydza, medium, far, near, sunny, no
full, lack, Kukurydza, developed, medium, medium, sunny, no
half, lack, Droga, well, near, medium, cloudy, no
lack, full, Droga, poorly, near, near, rainy, no
lack, much, Buraki, poorly, far, far, sunny, no
lack, lack, Droga, poorly, far, near, sunny, no
half, little, Droga, poorly, near, near, sunny, no
much, lack, Kukurydza, medium, far, near, rainy, no
much, little, Buraki, poorly, far, near, cloudy, no
half, much, Buraki, poorly, far, far, cloudy, no
little, lack, Kukurydza, well, medium, far, rainy, no
half, much, Droga, medium, near, far, sunny, no
much, full, Droga, poorly, near, near, sunny, no
much, lack, Kukurydza, medium, medium, near, rainy, no
half, little, Buraki, developed, near, far, rainy, no
lack, little, Kukurydza, poorly, medium, far, cloudy, no
lack, lack, Kukurydza, well, near, far, rainy, no
much, little, Droga, poorly, near, near, sunny, no
full, full, Droga, poorly, medium, near, rainy, no
full, full, Buraki, developed, far, medium, cloudy, yes
lack, much, Droga, medium, medium, near, rainy, no
little, half, Buraki, well, medium, medium, sunny, no
little, much, Droga, developed, medium, far, rainy, no
half, lack, Droga, poorly, far, medium, cloudy, no
full, half, Buraki, well, medium, far, rainy, no
full, full, Droga, medium, far, near, rainy, no
half, full, Kukurydza, well, medium, far, rainy, no
lack, little, Droga, poorly, medium, near, cloudy, no
little, half, Droga, medium, far, medium, sunny, no
half, full, Buraki, well, near, medium, cloudy, no
much, much, Kukurydza, developed, far, far, sunny, yes
little, half, Droga, medium, medium, near, rainy, no
little, much, Kukurydza, developed, far, medium, cloudy, no
much, half, Kukurydza, poorly, medium, far, rainy, no
half, full, Buraki, well, far, far, sunny, no
lack, lack, Buraki, developed, near, near, sunny, yes
lack, little, Buraki, well, near, medium, sunny, no
lack, much, Droga, well, far, medium, rainy, no
lack, full, Buraki, developed, medium, near, cloudy, no
half, much, Droga, well, medium, medium, cloudy, no
lack, half, Droga, medium, far, far, cloudy, no
lack, lack, Buraki, well, far, medium, sunny, no
much, lack, Buraki, poorly, medium, medium, cloudy, no
much, full, Kukurydza, medium, near, medium, cloudy, yes
little, half, Droga, poorly, near, near, cloudy, no
full, much, Buraki, medium, near, near, sunny, yes
much, full, Droga, well, near, near, sunny, no
half, full, Kukurydza, poorly, far, near, rainy, no
full, full, Droga, developed, near, medium, rainy, no
full, half, Kukurydza, poorly, far, far, cloudy, no
full, half, Buraki, well, medium, medium, rainy, no
full, lack, Buraki, medium, medium, far, cloudy, no
much, much, Droga, medium, medium, medium, cloudy, no
little, much, Buraki, medium, far, far, rainy, no
lack, little, Kukurydza, developed, near, medium, cloudy, no
lack, little, Buraki, medium, far, near, rainy, no
little, full, Buraki, poorly, near, near, rainy, no
half, much, Kukurydza, poorly, near, far, cloudy, no
full, half, Buraki, well, near, far, rainy, no
full, lack, Kukurydza, developed, near, far, rainy, no
much, full, Buraki, well, medium, near, sunny, yes
half, half, Droga, well, medium, near, rainy, no
little, lack, Buraki, developed, medium, medium, sunny, no
half, half, Buraki, medium, medium, far, rainy, no
half, little, Droga, medium, far, far, cloudy, no
lack, lack, Droga, poorly, medium, far, rainy, no
full, half, Buraki, medium, near, medium, cloudy, no
little, much, Buraki, poorly, medium, far, rainy, no
much, full, Buraki, well, near, far, sunny, yes
little, half, Kukurydza, well, near, near, cloudy, no
full, little, Droga, well, medium, near, cloudy, no
half, much, Buraki, well, medium, medium, cloudy, no
lack, little, Droga, poorly, far, far, sunny, no
full, much, Kukurydza, well, far, near, rainy, no
little, little, Buraki, developed, medium, far, cloudy, no
lack, lack, Buraki, medium, far, near, sunny, no
little, lack, Droga, medium, near, far, sunny, no
little, little, Kukurydza, well, near, near, cloudy, no
lack, half, Buraki, well, near, far, sunny, no
little, full, Buraki, medium, medium, far, cloudy, no
much, full, Droga, well, near, medium, rainy, no
lack, little, Droga, well, near, far, cloudy, no
full, lack, Droga, poorly, far, medium, cloudy, no
full, full, Kukurydza, well, far, medium, cloudy, yes
much, half, Droga, poorly, medium, far, cloudy, no
lack, little, Kukurydza, developed, near, medium, cloudy, no
full, little, Droga, well, near, near, rainy, no
little, little, Buraki, medium, far, far, sunny, no
little, full, Buraki, poorly, far, medium, sunny, no
little, lack, Buraki, developed, near, far, cloudy, no
little, lack, Droga, well, near, medium, sunny, no
much, lack, Kukurydza, poorly, far, medium, sunny, no
little, full, Buraki, well, far, far, rainy, no
little, little, Droga, poorly, medium, near, cloudy, no
lack, little, Kukurydza, poorly, near, far, cloudy, no
lack, little, Buraki, developed, near, near, sunny, no
little, full, Kukurydza, developed, near, medium, cloudy, no
little, full, Droga, medium, far, far, cloudy, no
much, full, Buraki, developed, far, near, sunny, yes
much, lack, Kukurydza, medium, far, far, cloudy, no
lack, lack, Buraki, well, far, far, rainy, no
little, much, Buraki, medium, far, near, rainy, no
lack, lack, Buraki, medium, near, medium, sunny, no
half, much, Kukurydza, poorly, medium, near, sunny, no
much, half, Kukurydza, poorly, medium, near, rainy, no
lack, lack, Kukurydza, medium, near, far, sunny, no
full, little, Buraki, well, medium, medium, cloudy, no
half, much, Kukurydza, poorly, medium, far, sunny, no
half, full, Kukurydza, developed, near, medium, cloudy, no
little, lack, Droga, well, near, near, sunny, no
half, lack, Buraki, well, medium, medium, cloudy, no
half, half, Droga, well, medium, medium, cloudy, no
much, much, Droga, poorly, medium, far, cloudy, no
much, half, Kukurydza, poorly, medium, near, rainy, no
little, half, Kukurydza, poorly, medium, near, rainy, no
little, lack, Kukurydza, medium, near, medium, sunny, no
much, half, Droga, well, far, near, cloudy, no
little, half, Droga, developed, near, far, cloudy, no
much, little, Droga, medium, far, far, cloudy, no
little, half, Kukurydza, poorly, medium, far, cloudy, no
little, lack, Buraki, developed, near, far, sunny, no
half, little, Kukurydza, developed, medium, near, sunny, no
little, full, Kukurydza, poorly, near, far, rainy, no
lack, much, Buraki, well, far, near, cloudy, no
little, lack, Buraki, developed, far, far, rainy, no
little, much, Droga, developed, medium, medium, sunny, no
half, lack, Kukurydza, well, medium, near, sunny, no
little, little, Kukurydza, medium, far, near, cloudy, no
much, half, Droga, developed, medium, medium, sunny, no
full, little, Buraki, poorly, far, near, rainy, no
lack, lack, Droga, poorly, medium, near, sunny, no
half, lack, Kukurydza, poorly, far, near, sunny, no
half, little, Kukurydza, well, far, far, rainy, no
much, half, Droga, well, medium, far, sunny, no
much, lack, Buraki, poorly, far, medium, rainy, no
much, half, Kukurydza, medium, medium, far, sunny, no
lack, much, Droga, developed, medium, medium, rainy, no
much, little, Droga, developed, near, medium, rainy, no
much, lack, Kukurydza, developed, near, far, sunny, no
much, half, Droga, medium, medium, medium, cloudy, no
much, little, Droga, developed, medium, near, rainy, no
lack, lack, Droga, poorly, near, near, cloudy, no
half, full, Buraki, well, medium, near, sunny, no
lack, lack, Buraki, developed, near, near, cloudy, yes
much, half, Kukurydza, poorly, medium, near, rainy, no
much, lack, Kukurydza, poorly, medium, medium, rainy, no
half, half, Buraki, well, far, medium, cloudy, no
much, little, Buraki, developed, near, medium, rainy, no
little, much, Buraki, poorly, far, medium, rainy, no
little, little, Buraki, medium, near, medium, cloudy, no
little, much, Droga, medium, near, near, cloudy, no
lack, lack, Kukurydza, medium, medium, medium, cloudy, no
little, full, Buraki, poorly, medium, medium, rainy, no
much, half, Droga, poorly, near, near, cloudy, no
half, little, Buraki, poorly, medium, medium, sunny, no
full, half, Droga, well, medium, medium, rainy, no
half, full, Buraki, well, far, medium, sunny, no
little, much, Droga, developed, far, far, sunny, no
much, lack, Buraki, developed, far, far, rainy, no
full, much, Kukurydza, medium, far, medium, cloudy, yes
much, lack, Buraki, poorly, near, near, cloudy, yes
full, much, Droga, poorly, far, near, rainy, no
full, lack, Kukurydza, medium, near, near, sunny, yes
half, little, Droga, well, far, far, sunny, no
half, much, Buraki, developed, near, medium, cloudy, no
little, full, Droga, developed, medium, medium, cloudy, no
lack, lack, Droga, developed, near, far, cloudy, no
half, half, Kukurydza, well, near, far, sunny, no
much, much, Kukurydza, poorly, near, near, sunny, yes
lack, full, Kukurydza, medium, medium, near, cloudy, no
half, little, Droga, well, far, near, rainy, no
half, full, Kukurydza, medium, medium, far, rainy, no
much, little, Droga, poorly, near, near, cloudy, no
full, much, Droga, well, far, far, cloudy, no
half, full, Buraki, medium, near, near, cloudy, no
much, little, Kukurydza, well, far, medium, rainy, no
little, full, Kukurydza, medium, far, medium, cloudy, no
half, half, Buraki, medium, far, near, sunny, no
lack, full, Buraki, developed, near, near, cloudy, yes
full, little, Kukurydza, well, far, near, sunny, no
full, much, Droga, developed, far, far, sunny, no
much, lack, Droga, poorly, near, medium, sunny, no
much, much, Buraki, poorly, far, near, sunny, yes
much, lack, Kukurydza, poorly, near, far, sunny, no
much, little, Buraki, poorly, near, medium, sunny, no
much, lack, Droga, well, far, far, sunny, no
much, full, Droga, developed, near, medium, sunny, no
little, full, Buraki, poorly, near, medium, sunny, no
half, much, Buraki, well, medium, near, rainy, no
little, much, Droga, poorly, medium, medium, sunny, no
lack, much, Kukurydza, poorly, near, medium, sunny, yes
much, much, Kukurydza, well, near, medium, sunny, yes
little, much, Droga, developed, far, near, rainy, no
full, half, Kukurydza, poorly, far, near, rainy, no
lack, much, Droga, well, far, near, sunny, no
half, little, Droga, poorly, far, medium, cloudy, no
little, little, Kukurydza, poorly, near, near, cloudy, no
full, full, Droga, medium, near, far, rainy, no
lack, lack, Kukurydza, medium, near, medium, sunny, no
lack, full, Buraki, well, medium, medium, cloudy, no
little, little, Buraki, poorly, medium, near, rainy, no
full, much, Buraki, poorly, far, near, rainy, no
full, much, Kukurydza, developed, far, near, cloudy, yes
little, half, Buraki, poorly, far, near, rainy, no
little, much, Buraki, well, medium, far, rainy, no
much, little, Droga, medium, far, medium, sunny, no
half, little, Buraki, well, far, medium, rainy, no
half, little, Kukurydza, medium, medium, medium, cloudy, no
little, much, Kukurydza, developed, far, medium, cloudy, no
half, half, Buraki, well, far, medium, rainy, no
half, full, Droga, well, near, medium, cloudy, no
little, full, Droga, medium, far, medium, cloudy, no
full, half, Droga, medium, medium, medium, cloudy, no
full, much, Buraki, developed, medium, medium, cloudy, yes
much, little, Buraki, medium, medium, near, rainy, no
lack, lack, Droga, poorly, near, near, cloudy, no
little, little, Droga, medium, medium, far, sunny, no
lack, full, Kukurydza, medium, medium, medium, rainy, no
much, lack, Kukurydza, well, far, near, rainy, no
half, much, Droga, medium, far, medium, cloudy, no
half, little, Kukurydza, developed, near, far, sunny, no
lack, lack, Buraki, medium, near, near, rainy, no
little, little, Kukurydza, medium, far, near, rainy, no
full, half, Buraki, well, far, far, rainy, no
much, much, Buraki, medium, near, near, sunny, yes
half, half, Droga, well, far, near, sunny, no
lack, full, Kukurydza, medium, near, far, rainy, no
much, much, Droga, developed, near, near, rainy, no
little, half, Buraki, developed, far, far, cloudy, no
lack, much, Droga, medium, near, medium, sunny, no
much, half, Kukurydza, developed, far, far, cloudy, no
lack, full, Droga, poorly, medium, near, cloudy, no
much, much, Kukurydza, medium, far, far, rainy, no
lack, much, Kukurydza, poorly, medium, medium, rainy, no
lack, half, Kukurydza, medium, near, near, sunny, no
lack, lack, Droga, well, far, far, rainy, no
half, half, Droga, developed, near, medium, cloudy, no
lack, full, Buraki, medium, near, far, cloudy, yes
lack, little, Droga, medium, medium, near, cloudy, no
much, much, Buraki, poorly, medium, far, rainy, no
full, lack, Kukurydza, developed, far, medium, rainy, no
half, lack, Buraki, poorly, medium, near, rainy, no
lack, lack, Droga, medium, far, medium, rainy, no
little, much, Buraki, well, far, far, cloudy, no
lack, little, Buraki, developed, far, near, sunny, no
half, full, Droga, well, near, far, cloudy, no
little, much, Droga, developed, near, medium, sunny, no
lack, lack, Buraki, developed, far, medium, cloudy, no
little, full, Droga, medium, near, near, cloudy, no
lack, full, Buraki, well, near, medium, rainy, no
lack, lack, Droga, developed, near, far, sunny, no
little, full, Buraki, developed, near, far, cloudy, no
lack, much, Droga, developed, medium, medium, cloudy, no
much, much, Buraki, medium, far, far, rainy, no
full, little, Droga, developed, medium, far, rainy, no
full, full, Buraki, medium, near, far, sunny, yes
little, half, Droga, medium, far, medium, cloudy, no
full, little, Kukurydza, medium, medium, near, rainy, no
lack, little, Buraki, developed, far, medium, rainy, no
much, lack, Kukurydza, well, medium, near, cloudy, yes
half, half, Droga, well, far, near, sunny, no
full, much, Kukurydza, developed, far, medium, rainy, no
full, little, Droga, medium, near, medium, cloudy, no
full, full, Kukurydza, developed, near, far, sunny, yes
full, full, Buraki, well, near, medium, cloudy, yes
little, half, Droga, developed, near, far, sunny, no
much, much, Droga, well, far, far, cloudy, no
much, little, Droga, developed, near, far, rainy, no
much, half, Kukurydza, medium, far, near, sunny, no
much, full, Kukurydza, poorly, far, far, sunny, yes
little, little, Kukurydza, poorly, medium, near, rainy, no
much, lack, Droga, medium, medium, near, sunny, no
little, little, Droga, developed, near, far, rainy, no
much, much, Droga, medium, near, medium, cloudy, no
half, lack, Buraki, developed, medium, near, rainy, no
full, lack, Droga, developed, medium, near, rainy, no
full, lack, Buraki, poorly, medium, near, rainy, no
half, lack, Kukurydza, medium, near, near, sunny, no
full, lack, Buraki, poorly, medium, near, rainy, no
half, half, Kukurydza, poorly, medium, near, rainy, no
full, lack, Droga, well, medium, near, cloudy, no
much, full, Buraki, poorly, near, near, cloudy, yes
full, half, Kukurydza, developed, far, medium, rainy, no
full, full, Kukurydza, developed, far, near, sunny, yes
much, full, Droga, poorly, medium, far, sunny, no
lack, lack, Droga, medium, near, near, cloudy, no
half, much, Kukurydza, medium, near, medium, rainy, no
lack, much, Buraki, poorly, far, medium, rainy, no
little, lack, Kukurydza, medium, far, far, cloudy, no
half, half, Droga, medium, medium, far, rainy, no
lack, half, Kukurydza, developed, near, near, rainy, no
half, half, Buraki, poorly, medium, near, sunny, no
little, much, Kukurydza, well, medium, far, sunny, no
lack, little, Kukurydza, poorly, medium, near, rainy, no
lack, much, Kukurydza, developed, near, near, sunny, yes
little, half, Droga, poorly, near, near, rainy, no
lack, little, Kukurydza, developed, medium, far, rainy, no
much, little, Buraki, poorly, medium, far, sunny, no
much, much, Droga, medium, far, medium, sunny, no
half, full, Kukurydza, developed, medium, far, sunny, no
half, lack, Droga, developed, far, far, cloudy, no
little, half, Buraki, developed, near, medium, rainy, no
half, lack, Droga, well, far, near, sunny, no
lack, half, Buraki, poorly, far, far, sunny, no
half, much, Kukurydza, well, near, near, sunny, no
little, half, Kukurydza, well, medium, medium, cloudy, no
half, half, Droga, poorly, near, medium, sunny, no
half, half, Kukurydza, well, near, medium, cloudy, no
much, lack, Buraki, developed, near, far, cloudy, no
little, lack, Buraki, poorly, near, far, sunny, no
little, lack, Buraki, developed, medium, medium, cloudy, no
much, much, Droga, well, medium, far, sunny, no
lack, much, Kukurydza, poorly, far, far, sunny, no
half, full, Buraki, well, medium, medium, cloudy, no
little, much, Kukurydza, well, medium, far, sunny, no
half, full, Kukurydza, developed, far, far, sunny, no
much, little, Kukurydza, poorly, far, near, sunny, no
full, half, Buraki, developed, near, near, sunny, no
much, full, Kukurydza, medium, far, near, sunny, yes
little, full, Kukurydza, poorly, far, medium, cloudy, no
full, little, Buraki, medium, near, medium, cloudy, no
full, lack, Droga, well, medium, near, rainy, no
much, half, Droga, developed, medium, medium, cloudy, no
much, much, Droga, poorly, far, medium, rainy, no
full, much, Kukurydza, medium, near, far, sunny, yes
half, little, Droga, medium, far, far, sunny, no
little, little, Kukurydza, medium, far, medium, sunny, no
little, little, Buraki, medium, far, medium, rainy, no
little, little, Buraki, developed, medium, medium, sunny, no
little, little, Buraki, well, far, far, cloudy, no
full, full, Kukurydza, developed, near, near, rainy, no
full, little, Droga, medium, medium, medium, cloudy, no
half, lack, Droga, developed, medium, far, cloudy, no
much, half, Buraki, poorly, medium, medium, cloudy, no
lack, half, Droga, medium, medium, far, sunny, no
little, full, Droga, developed, far, far, cloudy, no
lack, much, Kukurydza, well, near, far, cloudy, yes
full, full, Kukurydza, medium, far, far, rainy, no
little, much, Kukurydza, developed, near, near, sunny, no
